task_id,category,forecast_origin,outcome_available_at,evidence_url,evidence_published_at,content_sha256,is_estimated_date,reviewer,outcome_available_at_source,evidence_rationale,manual_review_eligible
A1-CN_A-20220630-00003,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/601318.SS/history,2022-07-29T07:00:00Z,8b8d2f0ae08b8712a4f0e2d038b5454efa1efbf7019fb783379815a83b362fa6,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00004,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/600036.SS/history,2022-07-29T07:00:00Z,a0d17dc1bd5b84f71ef09a7ffba5bfc40b5b26dde0525d093f2c00a7dcec740f,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00005,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/601398.SS/history,2022-07-29T07:00:00Z,7d2084c9773bc6957e13ec8ecff9189b1e9c2115d7b8b829f91d7fb85fc3583f,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00006,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/600030.SS/history,2022-07-29T07:00:00Z,6769b64485a15665e76f84d3e599c79a9ff503c4c73b1b89af8dd66693d9c4c5,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00007,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/300750.SZ/history,2022-07-29T07:00:00Z,16b7b9e6116a7ea4b94c89c87542ec79edced39c99275bb05a51814f4facdcdc,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00008,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/601012.SS/history,2022-07-29T07:00:00Z,f3753a18b0289fbb62659ab4b276e5fffaec71a51fd861379ecd0f221057bac7,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00009,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/002594.SZ/history,2022-07-29T07:00:00Z,ef410711540691fa37fef800c7d30775511389b10cebf747f36d5cdcaeecbb09,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00010,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/300760.SZ/history,2022-07-29T07:00:00Z,e157fea233ddda2224b620f98b1c73989c6ecff12303915a3c2c833431289101,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00011,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/600276.SS/history,2022-07-29T07:00:00Z,714d99e206335bf7cc08bb089e336bd81d4f31ad4d93fb40400e377f289256e3,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00012,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/603259.SS/history,2022-07-29T07:00:00Z,34e7995f5908d8d3d37595bf438614ed207e1bfad6c9ddd4cd316139079305a4,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00013,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/000333.SZ/history,2022-07-29T07:00:00Z,e7a460945e0e87d3472c222e8e061e7d46e26bc64272f61ad503c60ea02d9954,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00014,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/000651.SZ/history,2022-07-29T07:00:00Z,7d0d901aa3b3b0b5fc9e2f958ed19a0e5a5057890a9aed8873a0e71a21daed24,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00015,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/603288.SS/history,2022-07-29T07:00:00Z,266f092bc1975fdac9656f1df9d66e366700a3c4c14b4f31695b8c90786fbb63,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00016,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/601888.SS/history,2022-07-29T07:00:00Z,5914450516a36204c264aff077411a4636457baf6968b3d33f1eacf0e092b422,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00017,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/300059.SZ/history,2022-07-29T07:00:00Z,b9819cb5f7d2ae60dc07cb441ee69ec6d8e0ba44583f17bef6bcc5f48a7ef725,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00018,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/688981.SS/history,2022-07-29T07:00:00Z,faa91db3369c8daac25a40720653cbcdce7b1dd99814d5f15a504abbc2e1aa68,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00019,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/000002.SZ/history,2022-07-29T07:00:00Z,e1eb071d341932c2d044583549ff493773dba811c7ea0129fd3c8afed566c799,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00020,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/601668.SS/history,2022-07-29T07:00:00Z,9fb31e16ba14ea790e513f570ce3c859dec8df63cba64fff2da10037a7a089bf,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00001,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/600519.SS/history,2023-01-20T07:00:00Z,574ec890d8d6048804b2141f909c8be20e4797776748672562da2074374912e6,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00002,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/000858.SZ/history,2023-01-20T07:00:00Z,b23f688d3996e6ff3a35c60703772f53b548762b7d8cdf726e83a18d2f60e560,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00003,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/601318.SS/history,2023-01-20T07:00:00Z,8c70638a8fc0d1864438f023d09131423709e3320d89a9f09f4287f4ec3011a6,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00004,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/600036.SS/history,2023-01-20T07:00:00Z,cc7261ff6794c0df8f8bcd20890930c971dcd0e6e4d66396e880673132c2dbfa,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00005,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/601398.SS/history,2023-01-20T07:00:00Z,a8cb542275a90ac254b839682cd7e2e66144992fb4518e0230b2be58a8e47fe4,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00006,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/600030.SS/history,2023-01-20T07:00:00Z,677cbf16c218b1f12d326d669e6019bffa942058f4fc7cae2c0d06111a8abd30,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00007,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/300750.SZ/history,2023-01-20T07:00:00Z,ebafe11c385cc78bfc4ea68f7b0831b4538e45b80bebe24d9849c938b674e772,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00008,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/601012.SS/history,2023-01-20T07:00:00Z,04157c1ae85de437e926b7cbe54b9fb6a58d01c704773d3f2343c160f93c48f7,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00009,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/002594.SZ/history,2023-01-20T07:00:00Z,869a9877b149abc4b1a383b53b3c7842b70c4ed177e66197e520fb80320a5f39,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00010,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/300760.SZ/history,2023-01-20T07:00:00Z,fb3dc645ac40fd2b387183f4e9605b827d60ad17e5d943685297c7facc95200e,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00011,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/600276.SS/history,2023-01-20T07:00:00Z,04203d46b197c8a3810f189d84feea5d98de13119839569f94af7c11df9f3f41,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00012,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/603259.SS/history,2023-01-20T07:00:00Z,ef752c51b963dad43498a83f2d386d6663bfe9cf545ca96f87aa8fdea8d8cba4,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00013,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/000333.SZ/history,2023-01-20T07:00:00Z,68e26b8b9756dba069ebe426f0116ca662ccd9e9c4cb93b83747ad1cab05345a,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00014,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/000651.SZ/history,2023-01-20T07:00:00Z,d4469814ffbb4de9d22453671e0527ad9e2ae9e112ef31e51d70ee2b897f2635,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00015,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/603288.SS/history,2023-01-20T07:00:00Z,83b0c526ef365b3a00465771833158772654ac862b63e7af352c6218afc61807,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00016,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/601888.SS/history,2023-01-20T07:00:00Z,f5a6e091448e6e20ac1ac57c9cfa004530e93b61538e369720ea8dcaff87bdea,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00017,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/300059.SZ/history,2023-01-20T07:00:00Z,2dfef641f23811aee8e9c20ac12d327f4e208182d730ab206b0a3cac2a859d64,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00018,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/688981.SS/history,2023-01-20T07:00:00Z,b7d4defe25788564f4f538da524ef469064ce89b739a8749e3b8e0d401d2d77d,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00019,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/000002.SZ/history,2023-01-20T07:00:00Z,10af34811e31054195aae249585473d934b487e9328e5b4504d98bbb1f846193,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20221230-00020,A1,2022-12-30,2023-01-20,https://finance.yahoo.com/quote/601668.SS/history,2023-01-20T07:00:00Z,1e1904ab36d1a1073e261497408d7bb0ee7a37565c62a639463eab6ce5b22939,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-01-20 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00001,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/600519.SS/history,2023-04-28T07:00:00Z,9a5569d2e4e481302d00614541aae5ab4b902daaa2f3da79a864a496dc1b7b74,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00002,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/000858.SZ/history,2023-04-28T07:00:00Z,26eb9bbee312787d48dc15dc9452e8db23c31ec20698c43aa0892a1491770b7c,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00003,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/601318.SS/history,2023-04-28T07:00:00Z,882b479b1b997e86c09d4a0b64ecf9f7e1215329372415ed76911eda5d65e4f4,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00004,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/600036.SS/history,2023-04-28T07:00:00Z,c8aed627299a7d9a7dda36b9767ede87f7bde5a2d31951051bf1e13075fb1340,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00005,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/601398.SS/history,2023-04-28T07:00:00Z,9f96061b73efed72b82a2d578be0c056cff6520b2f89e01b16ac624f9754f28b,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00006,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/600030.SS/history,2023-04-28T07:00:00Z,f4373abb0001275d9431ae4415b6882956112dee9e880919da6099d32ed502f7,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00007,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/300750.SZ/history,2023-04-28T07:00:00Z,fb3dac4ee22986a194bbaa04a09cdf0ba01deaf7f37ac4ce72ed0f4b78b75344,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00008,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/601012.SS/history,2023-04-28T07:00:00Z,94dda3b47e705594dfe0df95b5b21e16fbe44e15e476fcbe0db8daab5552e327,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00009,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/002594.SZ/history,2023-04-28T07:00:00Z,1b3cdf419bdcffdcbfb061afaed55e98e0afcccde461aba48005fa4bcb99ca7d,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00010,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/300760.SZ/history,2023-04-28T07:00:00Z,dfb24e953e39f1411f155f1b3e6e69a604ace98d5f9dd41fdb916653589eaab8,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00011,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/600276.SS/history,2023-04-28T07:00:00Z,70016013beb177df038bf8600d8f39182768d243ea885574b3fee3ebae0e72c0,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00012,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/603259.SS/history,2023-04-28T07:00:00Z,4e2018a2b86808ce744f247f8c36e804517197eed7cae29d10b1255e12f8158c,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00013,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/000333.SZ/history,2023-04-28T07:00:00Z,583a5831788a2a51df9a3d915cd9ee279e8e8b8923cf91a01d5f8d6ea978a818,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00014,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/000651.SZ/history,2023-04-28T07:00:00Z,04d0f948ee3be6a2fbc27dc8d7017104f0ca3a736983a7446032771f7b98271c,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00015,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/603288.SS/history,2023-04-28T07:00:00Z,fa1c649880cee3dc02f648a9a5d4c7f03cbbb3dc31e3adf495e1c241095fa7b0,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00016,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/601888.SS/history,2023-04-28T07:00:00Z,dde4cc1009216d47baf487ee58464ecc2b8a31658b291453d05b2c03e6b3d52a,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00017,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/300059.SZ/history,2023-04-28T07:00:00Z,6203e1f263cde8520313b7566d67a766f879707dcd6d6b735d7e887fcfa16625,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00018,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/688981.SS/history,2023-04-28T07:00:00Z,dc766ae504564029c946573ddb0556a716cf708c999d7ba95b4bd39a8568b8a4,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00019,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/000002.SZ/history,2023-04-28T07:00:00Z,1b1d3a03fe80a1bf38c05e48caf2d7471db870df2a80ddf5794e8eae954c4cfd,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20230331-00020,A1,2023-03-31,2023-04-28,https://finance.yahoo.com/quote/601668.SS/history,2023-04-28T07:00:00Z,b425867d1555ea86b601df13c46d7f2d2b056c3643fbd52dad3fb60d34d44674,否,,observed_yahoo_forward_trading_day,Adjusted close on 2023-04-28 is the earliest public end-of-day price observation used for primary_forward_close.,是
