task_id,exclusion_reason_code,review_notes
A1-CN_A-20220630-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20221230-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230331-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230630-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20230929-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20231229-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20240329-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20260130-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20220630-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20221230-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20221230-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20221230-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230331-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230331-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230331-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230929-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230929-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20230929-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20231229-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20231229-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20231229-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20240329-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20240329-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20240329-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20260130-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20260130-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-HK-20260130-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20220630-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20221230-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20221230-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20221230-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230331-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230331-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230331-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230929-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230929-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20230929-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20231229-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20231229-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20231229-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20240329-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20240329-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20240329-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20260130-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20260130-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-US-20260130-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A2T-00001,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-00002,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20190628-consumer,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20190628-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20190628-pharma,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20190628-tech,human_attestation_missing,已采集固定基线标的名单及全部 10 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20191231-consumer,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20191231-financial,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20200331-consumer,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20200331-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20200331-pharma,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20200331-tech,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20201231-consumer,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20201231-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20201231-pharma,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20201231-tech,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20210630-consumer,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20210630-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20210630-pharma,human_attestation_missing,已采集固定基线标的名单及全部 11 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20210630-tech,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20211231-consumer,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20211231-financial,human_attestation_missing,已采集固定基线标的名单及全部 6 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20220331-consumer,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20220331-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20220331-pharma,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20220331-tech,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20221230-consumer,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20221230-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20221230-pharma,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20221230-tech,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20230331-consumer,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20230331-financial,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20230331-pharma,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
A2T-CN_A-20230331-tech,human_attestation_missing,已采集固定基线标的名单及全部 12 个标的的 forward close 原始响应快照；等待独立人工签核。
